ID,Nutrient,Important,is Macro,Unit Abbreviation,Unit,Advanced View,Order,Notes,Target,Preference,Threshold,Alternate Names,Type,Parent Nutrient,Cronometer csv,Cronometer,Recipe Keeper,My Fitness Pal,DRI,Web
3f0ff690-abfe-4481-a5c7-a58503d745ce,Alanine,FALSE,FALSE,g,gram,TRUE,32,,,NONE,,,Protein,Protein,Alanine (g),513,,,,
0fe8e034-2ef9-4447-8177-8ee863da96f2,Arginine,FALSE,FALSE,g,gram,TRUE,33,,,NONE,,,Protein,Protein,Arginine (g),511,,,,
06418c9d-df31-41aa-9eb3-05a827587727,Aspartic acid,FALSE,FALSE,g,gram,TRUE,34,,,NONE,,,Protein,Protein,Aspartic acid (g),514,,,,
f199476f-27d8-4937-a107-9b8a8bffcc71,Cystine,FALSE,FALSE,g,gram,TRUE,35,,,NONE,,,Protein,Protein,Cystine (g),507,,,,
8ab8a575-55d6-483d-807c-d66db963b80c,Glutamic acid,FALSE,FALSE,g,gram,TRUE,36,,,NONE,,,Protein,Protein,Glutamic acid (g),515,,,,
d1090333-2a9c-4de8-a935-d494575ae223,Glycine,FALSE,FALSE,g,gram,TRUE,37,,,NONE,,,Protein,Protein,Glycine (g),516,,,,
cb676fa8-326d-429f-999e-58256bd58b2c,Histidine,FALSE,FALSE,g,gram,TRUE,38,,,NONE,,,Protein,Protein,Histidine (g),512,,,,
332dde4e-1c0b-4000-9021-7dfd306f33fc,Hydroxyproline,FALSE,FALSE,g,gram,TRUE,39,,,NONE,,,Protein,Protein,Hydroxyproline (g),521,,,,
d7069178-b266-4513-9467-4178216ea199,Isoleucine,FALSE,FALSE,g,gram,TRUE,40,,,NONE,,,Protein,Protein,Isoleucine (g),503,,,,
0ee0933d-ec6d-4e36-820c-bab1bddec34d,Leucine,FALSE,FALSE,g,gram,TRUE,41,,,NONE,,,Protein,Protein,Leucine (g),504,,,,
c84c2135-770e-4a3c-8b2f-da54bfcd42c9,Lysine,FALSE,FALSE,g,gram,TRUE,42,,,NONE,,,Protein,Protein,Lysine (g),505,,,,
0af0dfd7-b550-4c57-abee-a0337d39418b,Methionine,FALSE,FALSE,g,calorie,TRUE,43,,,NONE,,,Protein,Protein,Methionine (g),506,,,,
d8c5ea52-650d-42ef-9678-4cc4bd8f74ab,Phenylalanine,FALSE,FALSE,g,gram,TRUE,44,,,NONE,,,Protein,Protein,Phenylalanine (g),508,,,,
615afde8-630f-4e80-a9b2-12dcd8263126,Proline,FALSE,FALSE,g,gram,TRUE,45,,,NONE,,,Protein,Protein,Proline (g),517,,,,
234851fb-ae88-4308-89f7-6a480416e1bd,Serine,FALSE,FALSE,g,gram,TRUE,46,,,NONE,,,Protein,Protein,Serine (g),518,,,,
b869b2ce-7e89-4457-bc4b-b1908a353ec8,Threonine,FALSE,FALSE,g,gram,TRUE,47,,,NONE,,,Protein,Protein,Threonine (g),502,,,,
6feb6775-1cbc-410b-8511-1e1e6d3f3018,Tryptophan,FALSE,FALSE,g,gram,TRUE,48,,,NONE,,,Protein,Protein,Tryptophan (g),501,,,,
cfa6cf19-9fbb-45ca-872b-654c34b30bfc,Tyrosine,FALSE,FALSE,g,gram,TRUE,49,,,NONE,,,Protein,Protein,Tyrosine (g),509,,,,
cfda615d-7a7b-4afc-8005-e516be80ac24,Valine,FALSE,FALSE,g,gram,TRUE,50,,,NONE,,,Protein,Protein,Valine (g),510,,,,
c4598973-edb8-45b8-9d1c-568d11706286,Thiamin,FALSE,FALSE,mg,miligram,TRUE,51,,,NONE,,Vitamin B1,Vitamin,,B1 (Thiamine) (mg),404,,,thiamin,
f16ecf94-5760-4fe7-ac93-dfee39f74e19,Riboflavin,FALSE,FALSE,mg,miligram,TRUE,52,,,NONE,,Vitamin B2,Vitamin,,B2 (Riboflavin) (mg),405,,,riboflavin,
82672c18-f436-4048-9d09-e3c6997cad8a,Niacin,FALSE,FALSE,mg,miligram,TRUE,53,,,NONE,,Vitamin B3,Vitamin,,B3 (Niacin) (mg),406,,,niacin,
e5e26bc1-89c2-4c87-be0a-f4e9d6faf99b,Pantothenic Acid,FALSE,FALSE,mg,miligram,TRUE,54,,,NONE,,Vitamin B5,Vitamin,,B5 (Pantothenic Acid) (mg),410,,pantothenicAcid,,
c96a1c52-6ed9-4bcb-ac24-a51305ea348b,Pyridoxine,FALSE,FALSE,mg,miligram,TRUE,55,,,NONE,,Vitamin B6,Vitamin,,B6 (Pyridoxine) (mg),415,,,vitaminB6,
0707ff7b-e961-4ac4-b856-8ec71b60a957,Cobalamin,FALSE,FALSE,μg,microgram,TRUE,56,,,NONE,,Vitamin B12,Vitamin,,B12 (Cobalamin) (Âµg),418,,,vitaminB12,
e8b21fc3-5e4a-4993-9506-ca4ee00c3812,Biotin,FALSE,FALSE,μg,microgram,TRUE,57,,,NONE,,,Vitamin,,Biotin (Âµg),10004,,,biotin,
c094240d-b870-43b2-b30b-58b8afe997fd,Choline,FALSE,FALSE,mg,miligram,TRUE,58,,,NONE,,,Vitamin,,Choline (mg),421,,,choline,
d1003ee8-6012-47bd-b300-ceeba70a2a6c,Folate,FALSE,FALSE,μg,microgram,TRUE,59,,,NONE,,Vitamin B9,Vitamin,,Folate (Âµg),417,,,folate,
da4d4dd6-f827-42b4-b12b-fe2ae372b7c0,Vitamin A,TRUE,FALSE,μg,microgram,TRUE,60,,,NONE,,,Vitamin,,Vitamin A (Âµg),320,,Vitamin A,vitaminA,
2160c29d-f509-47b3-a39e-61e7b7ad1a4f,Alpha-carotene,FALSE,FALSE,μg,microgram,TRUE,61,,,NONE,,,Vitamin,Vitamin A,Alpha-carotene (Âµg),322,,,,
bcdf9e25-53b7-4b84-b4b7-64b9337e0f5f,Beta-carotene,FALSE,FALSE,μg,microgram,TRUE,62,,,NONE,,,Vitamin,Vitamin A,Beta-carotene (Âµg),321,,,,
caaea020-90ec-49f2-8298-1ff78a32a8fe,Beta-cryptoxanthin,FALSE,FALSE,μg,microgram,TRUE,63,,,NONE,,,Vitamin,Vitamin A,Beta-cryptoxanthin (Âµg),334,,,,
278e14cd-17a2-4354-a5b0-dc1051dcd935,Lutein+Zeaxanthin,FALSE,FALSE,μg,microgram,TRUE,64,,,NONE,,,Vitamin,Vitamin A,Lutein+Zeaxanthin (Âµg),338,,,,
71217b0c-d80d-472c-9ff8-9d6ecce1c726,Lycopene,FALSE,FALSE,μg,microgram,TRUE,65,,,NONE,,,Vitamin,Vitamin A,Lycopene (Âµg),337,,,,
80b634b3-994a-4e5a-8766-3d8712c15595,Retinol,FALSE,FALSE,μg,microgram,TRUE,66,,,NONE,,,Vitamin,,Retinol (Âµg),319,,,,
55a450c0-53d4-4abe-8614-3f84bf992f20,Vitamin C,TRUE,FALSE,mg,miligram,TRUE,67,,,NONE,,,Vitamin,,Vitamin C (mg),401,,Vitamin C,vitaminC,
e51e0555-bd31-43ec-87d6-b69ccf94fe8a,Vitamin D,TRUE,FALSE,μg,microgram,FALSE,68,,,NONE,,,Vitamin,,Vitamin D (IU),324,,,vitaminD,
9c98797f-1893-49f9-b6cd-2b50a53ac142,Vitamin E,TRUE,FALSE,mg,miligram,TRUE,69,,,NONE,,,Vitamin,,Vitamin E (mg),323,,,vitaminE,
d6e799a5-4c5c-40e3-8261-5879934cdb04,Beta Tocopherol,FALSE,FALSE,mg,miligram,TRUE,70,,,NONE,,,Vitamin,Vitamin E,Beta Tocopherol (mg),341,,,,
9bfabedc-3896-4077-9ec7-dac8879f209b,Delta Tocopherol,FALSE,FALSE,mg,miligram,TRUE,71,,,NONE,,,Vitamin,Vitamin E,Delta Tocopherol (mg),343,,,,
2dc26519-5dbb-479a-9aab-053ca3ed6d36,Gamma Tocopherol,FALSE,FALSE,mg,miligram,TRUE,72,,,NONE,,,Vitamin,Vitamin E,Gamma Tocopherol (mg),342,,,,
41048c3d-57b4-4be8-a1e4-5068f86cecab,Vitamin K,FALSE,FALSE,μg,microgram,TRUE,73,,,NONE,,,Vitamin,,Vitamin K (Âµg),430,,,vitaminK,
1ebb60b1-0c43-42ee-a198-c89207fbea02,Calcium,FALSE,FALSE,mg,miligram,FALSE,74,,,NONE,,,Mineral,,Calcium (mg),301,,Calcium,calcium,
d2a6f60f-f0d2-4294-86a6-9469987dbf6c,Chloride,FALSE,FALSE,g,gram,TRUE,75,,,NONE,,,Mineral,,,,,,chloride,
50b587d4-ee31-4536-9cc7-55db86600ca2,Chromium,FALSE,FALSE,μg,microgram,TRUE,76,,,NONE,,,Mineral,,Chromium (Âµg),,,,chromium,
68a9025b-c83c-4dd6-a2e7-8148a87648b5,Copper,FALSE,FALSE,μg,microgram,TRUE,77,,,NONE,,,Mineral,,Copper (mg),312,,,copper,
312e0d59-b844-4af9-b8ac-609b46eb2e52,Fluoride,FALSE,FALSE,mg,miligram,TRUE,78,,,NONE,,,Mineral,,Fluoride (Âµg),313,,,fluoride,
ad20f4f1-97c9-423f-9b9d-b2fd3585526e,Iodine,FALSE,FALSE,μg,microgram,TRUE,79,,,NONE,,,Mineral,,Iodine (Âµg),10005,,,iodine,
03d691c4-71c9-4ed9-adbe-30f6a642df08,Iron,FALSE,FALSE,mg,miligram,FALSE,80,,,NONE,,,Mineral,,Iron (mg),303,,Iron,iron,
38615d24-cf5d-48b6-b71c-df60e97f5c15,Magnesium,TRUE,FALSE,mg,miligram,TRUE,81,,,NONE,,,Mineral,,Magnesium (mg),304,,,magnesium,
8bc0e4d9-c153-4127-8212-290a248cbc0f,Manganese,FALSE,FALSE,mg,miligram,TRUE,82,,,NONE,,,Mineral,,Manganese (mg),315,,,manganese,
5f985f64-be5e-492a-8325-e598966d26c9,Molybdenum,FALSE,FALSE,μg,microgram,TRUE,83,,,NONE,,,Mineral,,Molybdenum (Âµg),,,,molybdenum,
9c39cb12-03c3-4870-a385-7ddf2bccb319,Phosphorus,FALSE,FALSE,mg,miligram,TRUE,84,,,NONE,,,Mineral,,Phosphorus (mg),305,,,phosphorus,
4e9d4a3e-b8a9-464f-856a-3268ddd47c27,Potassium,TRUE,FALSE,mg,miligram,FALSE,85,,,NONE,,,Mineral,,Potassium (mg),306,,Potassium,potassium,
8c659478-f2d1-41de-8c93-a1e5b436c17a,Selenium,FALSE,FALSE,μg,microgram,TRUE,86,,,NONE,,,Mineral,,Selenium (Âµg),317,,,selenium,
485b501a-0f5c-4a2e-8abb-b9f3dae79ada,Sodium,TRUE,FALSE,mg,miligram,FALSE,87,,,NONE,,,Mineral,,Sodium (mg),307,recipeNutSodium,Sodium (mg),sodium,sodiumContent
2b29844f-7cca-4317-b88e-5ec1b8e78380,Zinc,FALSE,FALSE,mg,miligram,TRUE,88,,,NONE,,,Mineral,,Zinc (mg),309,,,zinc,
