ID,Nutrient,Important,is Macro,Unit,Advanced View,Order,Notes,Alternate Names,Type,Parent Nutrient
6feb6775-1cbc-410b-8511-1e1e6d3f3018,Tryptophan,FALSE,FALSE,gram,TRUE,48,,,Protein,Protein
cfa6cf19-9fbb-45ca-872b-654c34b30bfc,Tyrosine,FALSE,FALSE,gram,TRUE,49,,,Protein,Protein
cfda615d-7a7b-4afc-8005-e516be80ac24,Valine,FALSE,FALSE,gram,TRUE,50,,,Protein,Protein
c4598973-edb8-45b8-9d1c-568d11706286,Thiamin,FALSE,FALSE,miligram,TRUE,51,,Vitamin B1,Vitamin,
f16ecf94-5760-4fe7-ac93-dfee39f74e19,Riboflavin,FALSE,FALSE,miligram,TRUE,52,,Vitamin B2,Vitamin,
82672c18-f436-4048-9d09-e3c6997cad8a,Niacin,FALSE,FALSE,miligram,TRUE,53,,Vitamin B3,Vitamin,
e5e26bc1-89c2-4c87-be0a-f4e9d6faf99b,Pantothenic Acid,FALSE,FALSE,miligram,TRUE,54,,Vitamin B5,Vitamin,
c96a1c52-6ed9-4bcb-ac24-a51305ea348b,Pyridoxine,FALSE,FALSE,miligram,TRUE,55,,Vitamin B6,Vitamin,
0707ff7b-e961-4ac4-b856-8ec71b60a957,Cobalamin,FALSE,FALSE,microgram,TRUE,56,,Vitamin B12,Vitamin,
e8b21fc3-5e4a-4993-9506-ca4ee00c3812,Biotin,FALSE,FALSE,microgram,TRUE,57,,,Vitamin,
c094240d-b870-43b2-b30b-58b8afe997fd,Choline,FALSE,FALSE,miligram,TRUE,58,,,Vitamin,
d1003ee8-6012-47bd-b300-ceeba70a2a6c,Folate,FALSE,FALSE,microgram,TRUE,59,,Vitamin B9,Vitamin,
da4d4dd6-f827-42b4-b12b-fe2ae372b7c0,Vitamin A,TRUE,FALSE,microgram,TRUE,60,,,Vitamin,
2160c29d-f509-47b3-a39e-61e7b7ad1a4f,Alpha-carotene,FALSE,FALSE,microgram,TRUE,61,,,Vitamin,Vitamin A
bcdf9e25-53b7-4b84-b4b7-64b9337e0f5f,Beta-carotene,FALSE,FALSE,microgram,TRUE,62,,,Vitamin,Vitamin A
caaea020-90ec-49f2-8298-1ff78a32a8fe,Beta-cryptoxanthin,FALSE,FALSE,microgram,TRUE,63,,,Vitamin,Vitamin A
278e14cd-17a2-4354-a5b0-dc1051dcd935,Lutein+Zeaxanthin,FALSE,FALSE,microgram,TRUE,64,,,Vitamin,Vitamin A
71217b0c-d80d-472c-9ff8-9d6ecce1c726,Lycopene,FALSE,FALSE,microgram,TRUE,65,,,Vitamin,Vitamin A
