ID,Nutrient,Unit Abbreviation,Unit,Advanced View,Order,Notes,Alternate Names,Type,Parent Nutrient,Cronometer csv,Cronometer,Recipe Keeper,My Fitness Pal,DRI,Web
clt6dqtzj0017awv92fwrajtd,Phenylalanine,g,gram,TRUE,44,,,Protein,Protein,Phenylalanine (g),508,,,,
clt6dqtzj0018awv9a77j05q3,Proline,g,gram,TRUE,45,,,Protein,Protein,Proline (g),517,,,,
clt6dqtzj0019awv94xnsc51k,Serine,g,gram,TRUE,46,,,Protein,Protein,Serine (g),518,,,,
clt6dqtzk001aawv9ax448o8h,Threonine,g,gram,TRUE,47,,,Protein,Protein,Threonine (g),502,,,,
clt6dqtzk001bawv9ci6u6uxm,Tryptophan,g,gram,TRUE,48,,,Protein,Protein,Tryptophan (g),501,,,,
clt6dqtzk001cawv9cu1wbyec,Tyrosine,g,gram,TRUE,49,,,Protein,Protein,Tyrosine (g),509,,,,
clt6dqtzk001dawv9df3rb5yv,Valine,g,gram,TRUE,50,,,Protein,Protein,Valine (g),510,,,,
clt6dqtzk001eawv9getu2lnr,Thiamin,mg,miligram,TRUE,51,,Vitamin B1,Vitamin,,B1 (Thiamine) (mg),404,,,thiamin,
clt6dqtzl001fawv9diafbslc,Riboflavin,mg,miligram,TRUE,52,,Vitamin B2,Vitamin,,B2 (Riboflavin) (mg),405,,,riboflavin,
clt6dqtzl001gawv98zhg5ti9,Niacin,mg,miligram,TRUE,53,,Vitamin B3,Vitamin,,B3 (Niacin) (mg),406,,,niacin,
clt6dqtzl001hawv9av3j07d6,Pantothenic Acid,mg,miligram,TRUE,54,,Vitamin B5,Vitamin,,B5 (Pantothenic Acid) (mg),410,,pantothenicAcid,,
clt6dqtzl001iawv9gh36h7fx,Pyridoxine,mg,miligram,TRUE,55,,Vitamin B6,Vitamin,,B6 (Pyridoxine) (mg),415,,,vitaminB6,
clt6dqtzm001jawv9dby65jkr,Cobalamin,μg,microgram,TRUE,56,,Vitamin B12,Vitamin,,B12 (Cobalamin) (Âµg),418,,,vitaminB12,
clt6dqtzm001kawv915sw4pdj,Biotin,μg,microgram,TRUE,57,,,Vitamin,,Biotin (Âµg),10004,,,biotin,
clt6dqtzm001lawv96c9n5u1x,Choline,mg,miligram,TRUE,58,,,Vitamin,,Choline (mg),421,,,choline,
clt6dqtzm001mawv92d0maqj3,Folate,μg,microgram,TRUE,59,,Vitamin B9,Vitamin,,Folate (Âµg),417,,,folate,
clt6dqtzm001nawv940jw0v1l,Vitamin A,μg,microgram,TRUE,60,,,Vitamin,,Vitamin A (Âµg),320,,Vitamin A,vitaminA,
clt6dqtzn001oawv96yx7eth2,Alpha-carotene,μg,microgram,TRUE,61,,,Vitamin,Vitamin A,Alpha-carotene (Âµg),322,,,,
clt6dqtzn001pawv919zkdvp0,Beta-carotene,μg,microgram,TRUE,62,,,Vitamin,Vitamin A,Beta-carotene (Âµg),321,,,,
clt6dqtzn001qawv9dc178tb0,Beta-cryptoxanthin,μg,microgram,TRUE,63,,,Vitamin,Vitamin A,Beta-cryptoxanthin (Âµg),334,,,,
clt6dqtzn001rawv9fxtp4ehl,Lutein+Zeaxanthin,μg,microgram,TRUE,64,,,Vitamin,Vitamin A,Lutein+Zeaxanthin (Âµg),338,,,,
clt6dqtzo001sawv94tsldefq,Lycopene,μg,microgram,TRUE,65,,,Vitamin,Vitamin A,Lycopene (Âµg),337,,,,
clt6dqtzo001tawv983ea08nk,Retinol,μg,microgram,TRUE,66,,,Vitamin,,Retinol (Âµg),319,,,,
clt6dqtzo001uawv93yzuepza,Vitamin C,mg,miligram,TRUE,67,,,Vitamin,,Vitamin C (mg),401,,Vitamin C,vitaminC,
clt6dqtzo001vawv98fiuhklq,Vitamin D,μg,microgram,FALSE,68,,,Vitamin,,Vitamin D (IU),324,,,vitaminD,
clt6dqtzp001wawv99wux8e0i,Vitamin E,mg,miligram,TRUE,69,,,Vitamin,,Vitamin E (mg),323,,,vitaminE,
clt6dqtzp001xawv9altmg2n5,Beta Tocopherol,mg,miligram,TRUE,70,,,Vitamin,Vitamin E,Beta Tocopherol (mg),341,,,,
clt6dqtzp001yawv91yrw5oiq,Delta Tocopherol,mg,miligram,TRUE,71,,,Vitamin,Vitamin E,Delta Tocopherol (mg),343,,,,
clt6dqtzp001zawv9h7yp2e4t,Gamma Tocopherol,mg,miligram,TRUE,72,,,Vitamin,Vitamin E,Gamma Tocopherol (mg),342,,,,
clt6dqtzq0020awv92t3v4527,Vitamin K,μg,microgram,TRUE,73,,,Vitamin,,Vitamin K (Âµg),430,,,vitaminK,
clt6dqtzq0021awv920fwelf5,Calcium,mg,miligram,FALSE,74,,,Mineral,,Calcium (mg),301,,Calcium,calcium,
clt6dqtzq0022awv99t5hb0pw,Chloride,g,gram,TRUE,75,,,Mineral,,,,,,chloride,
clt6dqtzq0023awv96rkx3u9m,Chromium,μg,microgram,TRUE,76,,,Mineral,,Chromium (Âµg),,,,chromium,
clt6dqtzq0024awv9eyvggop6,Copper,μg,microgram,TRUE,77,,,Mineral,,Copper (mg),312,,,copper,
clt6dqtzr0025awv98itw90lx,Fluoride,mg,miligram,TRUE,78,,,Mineral,,Fluoride (Âµg),313,,,fluoride,
clt6dqtzr0026awv93hm8c40h,Iodine,μg,microgram,TRUE,79,,,Mineral,,Iodine (Âµg),10005,,,iodine,
clt6dqtzr0027awv9c2iueqx0,Iron,mg,miligram,FALSE,80,,,Mineral,,Iron (mg),303,,Iron,iron,
clt6dqtzr0028awv911p11mq2,Magnesium,mg,miligram,TRUE,81,,,Mineral,,Magnesium (mg),304,,,magnesium,
clt6dqtzr0029awv975g5bfea,Manganese,mg,miligram,TRUE,82,,,Mineral,,Manganese (mg),315,,,manganese,
clt6dqtzs002aawv9c1dp1uiz,Molybdenum,μg,microgram,TRUE,83,,,Mineral,,Molybdenum (Âµg),,,,molybdenum,
clt6dqtzs002bawv95j7v1332,Phosphorus,mg,miligram,TRUE,84,,,Mineral,,Phosphorus (mg),305,,,phosphorus,
clt6dqtzs002cawv9bj5z9wqy,Potassium,mg,miligram,FALSE,85,,,Mineral,,Potassium (mg),306,,Potassium,potassium,
clt6dqtzs002dawv94al96ozt,Selenium,μg,microgram,TRUE,86,,,Mineral,,Selenium (Âµg),317,,,selenium,
clt6dqtzs002eawv94gped853,Sodium,mg,miligram,FALSE,87,,,Mineral,,Sodium (mg),307,recipeNutSodium,Sodium (mg),sodium,sodiumContent
clt6dqtzt002fawv9eeo98yr1,Zinc,mg,miligram,TRUE,88,,,Mineral,,Zinc (mg),309,,,zinc,
